unnamed: 0,date,ticker,iv_current,z_score,tau_flag,iv_1d_chg,iv_7d_chg,pre_tau_buildup,reflexive_overdrive,skew_premium,reflexive_panic,preemptive_skew,tau_blindspot,month,iv_z,skew_z,reflexivity_score,stress_color,color_score,tau_weight,reflexivity_continuous_score,reflexivity_score_v2,price_gap_score,volume_spike_score,reflexivity_score_v2_extended,subclass,is_subclass_peak,expected_subclass_stress
0,2025-01-01,BHF,0.3428,0.0,0.0,,,False,False,,False,False,False,2025-01,-1.4382409802013396,0.0,-1.4382409802013396,neutral,0,0.0,-1.4382409802013396,-1.4382409802013396,0,0,-1.4382409802013396,Annuity,False,False
1,2025-01-02,BHF,0.342,0.0,0.0,-0.0007999999999999,,False,False,,False,False,False,2025-01,-1.445516194402251,0.0,-1.445516194402251,neutral,0,0.0,-1.445516194402251,-1.445516194402251,0,0,-1.445516194402251,Annuity,False,False
2,2025-01-03,BHF,0.3249,0.0,0.0,-0.0171,,False,False,,False,False,False,2025-01,-1.6010238979467375,0.0,-1.6010238979467375,neutral,0,0.0,-1.6010238979467375,-1.6010238979467375,0,0,-1.6010238979467375,Annuity,False,False
3,2025-01-06,BHF,0.3645,0.0,0.0,0.0395999999999999,,False,False,,False,False,False,2025-01,-1.240900795001611,0.0,-1.240900795001611,neutral,0,0.0,-1.240900795001611,-1.240900795001611,0,0,-1.240900795001611,Annuity,False,False
4,2025-01-07,BHF,0.3833,0.0,0.0,0.0187999999999999,,False,False,,False,False,False,2025-01,-1.069933261280188,0.0,-1.069933261280188,neutral,0,0.0,-1.069933261280188,-1.069933261280188,0,0,-1.069933261280188,Annuity,False,False
5,2025-01-08,BHF,0.3604,0.0,0.0,-0.0228999999999999,,False,False,,False,False,False,2025-01,-1.2781862677812834,0.0,-1.2781862677812834,neutral,0,0.0,-1.2781862677812834,-1.2781862677812834,0,0,-1.2781862677812834,Annuity,False,False
6,2025-01-10,BHF,0.3867,-2.071737855939224,1.0,0.0262999999999999,,False,False,,False,False,False,2025-01,-1.0390136009263131,0.0,-1.0390136009263131,neutral,0,0.6905792853130747,-0.3484343156132387,-0.3484343156132384,0,0,-0.3484343156132384,Annuity,False,False
7,2025-01-13,BHF,0.3977,0.0,0.0,0.011,0.0549,True,False,,False,False,False,2025-01,-0.938979405663778,0.0,-0.938979405663778,neutral,0,0.0,-0.938979405663778,-0.938979405663778,0,0,-0.938979405663778,Annuity,False,False
8,2025-01-14,BHF,0.3801,0.0,0.0,-0.0176,0.0380999999999999,False,False,,False,False,False,2025-01,-1.0990341180838343,0.0,-1.0990341180838343,neutral,0,0.0,-1.0990341180838343,-1.0990341180838343,0,0,-1.0990341180838343,Annuity,False,False
9,2025-01-15,BHF,0.3542,0.0,0.0,-0.0258999999999999,0.0292999999999999,False,False,,False,False,False,2025-01,-1.3345691778383486,0.0,-1.3345691778383486,neutral,0,0.0,-1.3345691778383486,-1.3345691778383486,0,0,-1.3345691778383486,Annuity,False,False
10,2025-01-16,BHF,0.4208,0.0,0.0,0.0665999999999999,0.0563,True,False,,False,False,False,2025-01,-0.7289075956124542,0.0,-0.7289075956124542,neutral,0,0.0,-0.7289075956124542,-0.7289075956124542,0,0,-0.7289075956124542,Annuity,False,False
11,2025-01-17,BHF,0.3513,0.0,0.0,-0.0695,-0.0319999999999999,False,False,,False,False,False,2025-01,-1.3609418293166533,0.0,-1.3609418293166533,neutral,0,0.0,-1.3609418293166533,-1.3609418293166533,0,0,-1.3609418293166533,Annuity,False,False
12,2025-01-21,BHF,0.3698,0.0,0.0,0.0185,0.0094,False,False,-1.6999999999999995,False,False,False,2025-01,-1.1927025009205714,0.1365134082512663,-1.0561890926693052,neutral,0,0.0,-1.0561890926693052,-1.0561890926693052,0,0,-1.0561890926693052,Annuity,False,False
13,2025-01-22,BHF,0.3807,0.0,0.0,0.0108999999999999,-0.006,False,False,-0.4500000000000002,False,False,False,2025-01,-1.0935777074331503,0.9966588667450156,-0.0969188406881349,neutral,0,0.0,-0.0969188406881349,-0.0969188406881347,0,0,-0.0969188406881347,Annuity,False,False
14,2025-01-23,BHF,0.3826,0.0,0.0,0.0019,-0.0151,False,False,-0.7000000000000002,False,False,False,2025-01,-1.0762990737059854,0.8246297750462657,-0.2516692986597197,neutral,0,0.0,-0.2516692986597197,-0.2516692986597197,0,0,-0.2516692986597197,Annuity,False,False
15,2025-01-24,BHF,0.3544,0.0,0.0,-0.0282,-0.0257,False,False,-0.75,False,False,False,2025-01,-1.3327503742881208,0.7902239567065158,-0.542526417581605,neutral,0,0.0,-0.542526417581605,-0.542526417581605,0,0,-0.542526417581605,Annuity,False,False
16,2025-01-27,BHF,0.4001,0.0,0.0,0.0457,0.0458999999999999,False,False,,False,False,False,2025-01,-0.917153763061043,0.0,-0.917153763061043,neutral,0,0.0,-0.917153763061043,-0.917153763061043,0,0,-0.917153763061043,Annuity,False,False
17,2025-01-28,BHF,0.5588,0.0,0.0,0.1586999999999999,0.1379999999999999,True,False,,False,False,False,2025-01,0.5260668540448041,0.0,0.5260668540448041,neutral,0,0.0,0.5260668540448041,0.5260668540448041,0,0,0.5260668540448041,Annuity,False,False
18,2025-01-29,BHF,0.4589,0.0,0.0,-0.0998999999999999,0.1075999999999999,True,False,,False,False,False,2025-01,-0.3824255192940374,0.0,-0.3824255192940374,neutral,0,0.0,-0.3824255192940374,-0.3824255192940374,0,0,-0.3824255192940374,Annuity,False,False
19,2025-01-30,BHF,0.539,0.0,0.0,0.0801,0.1692,True,False,,False,False,False,2025-01,0.3460053025722415,0.0,0.3460053025722415,neutral,0,0.0,0.3460053025722415,0.3460053025722415,0,0,0.3460053025722415,Annuity,False,False
20,2025-01-31,BHF,0.4435,0.0,0.0,-0.0955,0.0628,True,False,,False,False,False,2025-01,-0.5224733926615863,0.0,-0.5224733926615863,neutral,0,0.0,-0.5224733926615863,-0.5224733926615863,0,0,-0.5224733926615863,Annuity,False,False
21,2025-02-03,BHF,0.4914,0.0,0.0,0.0479,0.1088,True,False,,False,False,False,2025-02,-0.0868699423820016,0.0,-0.0868699423820016,neutral,0,0.0,-0.0868699423820016,-0.0868699423820016,0,0,-0.0868699423820016,Annuity,False,False
22,2025-02-04,BHF,0.4729,0.0,0.0,-0.0185,0.1185,True,False,,False,False,False,2025-02,-0.2551092707780835,0.0,-0.2551092707780835,neutral,0,0.0,-0.2551092707780835,-0.2551092707780835,0,0,-0.2551092707780835,Annuity,False,False
23,2025-02-05,BHF,0.4568,0.0,0.0,-0.0161,0.0566999999999999,True,False,,False,False,False,2025-02,-0.4015229565714304,0.0,-0.4015229565714304,neutral,0,0.0,-0.4015229565714304,-0.4015229565714304,0,0,-0.4015229565714304,Annuity,False,False
24,2025-02-06,BHF,0.5245,0.0,0.0,0.0676999999999999,-0.0343,False,False,,False,False,False,2025-02,0.2141420451807173,0.0,0.2141420451807173,neutral,0,0.0,0.2141420451807173,0.2141420451807173,0,0,0.2141420451807173,Annuity,False,False
25,2025-02-07,BHF,0.4856,0.0,0.0,-0.0388999999999999,0.0267,False,False,,False,False,False,2025-02,-0.1396152453386112,0.0,-0.1396152453386112,neutral,0,0.0,-0.1396152453386112,-0.1396152453386112,0,0,-0.1396152453386112,Annuity,False,False
26,2025-02-10,BHF,0.5075,0.0,0.0,0.0218999999999999,-0.0315,False,False,,False,False,False,2025-02,0.0595437434113447,0.0,0.0595437434113447,neutral,0,0.0,0.0595437434113447,0.0595437434113447,0,0,0.0595437434113447,Annuity,False,False
27,2025-02-11,BHF,0.4112,0.0,0.0,-0.0962999999999999,-0.0322999999999999,False,False,,False,False,False,2025-02,-0.8162101660233939,0.0,-0.8162101660233939,neutral,0,0.0,-0.8162101660233939,-0.8162101660233939,0,0,-0.8162101660233939,Annuity,False,False
28,2025-02-12,BHF,0.4022,0.0,0.0,-0.009,-0.0892,False,False,,False,False,False,2025-02,-0.89805632578365,0.0,-0.89805632578365,neutral,0,0.0,-0.89805632578365,-0.89805632578365,0,0,-0.89805632578365,Annuity,False,False
29,2025-02-13,BHF,0.3926,0.0,0.0,-0.0095999999999999,-0.0802999999999999,False,False,,False,False,False,2025-02,-0.9853588961945896,0.0,-0.9853588961945896,neutral,0,0.0,-0.9853588961945896,-0.9853588961945896,0,0,-0.9853588961945896,Annuity,False,False
30,2025-02-14,BHF,0.3764,0.0,0.0,-0.0161999999999999,-0.0803999999999999,False,False,-2.85,False,False,False,2025-02,-1.1326819837630504,-0.6548204135629833,-1.7875023973260338,neutral,0,0.0,-1.7875023973260338,-1.7875023973260338,0,0,-1.7875023973260338,Annuity,False,False
31,2025-02-17,BHF,0.3764,0.0,0.0,0.0,-0.1480999999999999,False,False,-2.85,False,False,False,2025-02,-1.1326819837630504,-0.6548204135629833,-1.7875023973260338,neutral,0,0.0,-1.7875023973260338,-1.7875023973260338,0,0,-1.7875023973260338,Annuity,False,False
32,2025-02-18,BHF,0.436,0.0,0.0,0.0595999999999999,-0.0495999999999999,False,False,-2.7,False,False,False,2025-02,-0.590678525795133,-0.5516029585437338,-1.142281484338867,neutral,0,0.0,-1.142281484338867,-1.142281484338867,0,0,-1.142281484338867,Annuity,False,False
33,2025-02-19,BHF,0.4925,0.0,0.0,0.0564999999999999,-0.0149999999999999,False,False,-3.5,False,False,False,2025-02,-0.0768665228557481,-1.1020960519797334,-1.1789625748354815,neutral,0,0.0,-1.1789625748354815,-1.1789625748354815,0,0,-1.1789625748354815,Annuity,False,False
34,2025-02-20,BHF,0.4548,0.0,0.0,-0.0377,0.0435999999999999,False,False,-1.9,False,False,False,2025-02,-0.4197109920737095,-0.0011098651077337,-0.4208208571814433,neutral,0,0.0,-0.4208208571814433,-0.4208208571814432,0,0,-0.4208208571814432,Annuity,False,False
35,2025-02-21,BHF,0.433,0.0,0.0,-0.0217999999999999,0.0307999999999999,False,False,0.2000000000000001,False,False,False,2025-02,-0.6179605790485517,1.4439345051617656,0.8259739261132139,yellow,1,0.0,0.8259739261132139,0.8259739261132139,0,0,0.8259739261132139,Annuity,False,False
36,2025-02-24,BHF,0.4099,0.0,0.0,-0.0231,0.0172999999999999,False,False,0.3000000000000002,False,False,False,2025-02,-0.8280323890998755,1.5127461418412658,0.6847137527413902,neutral,0,0.0,0.6847137527413902,0.6847137527413902,0,0,0.6847137527413902,Annuity,False,False
37,2025-02-25,BHF,0.3866,0.0,0.0,-0.0232999999999999,0.0101999999999999,False,False,,False,False,False,2025-02,-1.039923002701427,0.0,-1.039923002701427,neutral,0,0.0,-1.039923002701427,-1.039923002701427,0,0,-1.039923002701427,Annuity,False,False
38,2025-02-26,BHF,0.4613,0.0,0.0,0.0746999999999999,0.0848999999999999,True,False,,False,False,False,2025-02,-0.3605998766913024,0.0,-0.3605998766913024,neutral,0,0.0,-0.3605998766913024,-0.3605998766913024,0,0,-0.3605998766913024,Annuity,False,False
