,from_subclass,to_subclass,avg_lag_days,observations
126,IG ETF,Reflexive Outlier,3.25,4
131,Custodian,NAV Loan ETF,4.0,5
123,Life/Annuity,NAV Loan ETF,4.25,4
108,Alt Manager,Reflexive Outlier,4.5,6
113,Custodian,Reflexive Outlier,4.6,5
114,HY ETF,Reflexive Outlier,4.666666666666667,3
46,Sovereign Carry Vector,Wall Street NAV Channel,4.782608695652174,23
21,Alt Manager,Mortgage,4.92,25
72,Sovereign Carry Vector,UK,4.9375,16
115,Mortgage,Reflexive Outlier,5.0,5
42,Life/Annuity,Wall Street NAV Channel,5.068965517241379,29
3,Asia NAV Underwriter,Custodian,5.071428571428571,14
92,Life/Annuity,Mortgage ETF,5.2727272727272725,11
20,Alt Manager,Life/Annuity,5.384615384615385,26
82,IG ETF,Life/Annuity,5.4,25
41,Life/Annuity,Mortgage,5.478260869565218,23
98,Floating Rate,Life/Annuity,5.48,25
37,Custodian,Wall Street NAV Channel,5.617647058823529,34
110,Loan ETF,Reflexive Outlier,5.7,20
5,Asia NAV Underwriter,Life/Annuity,5.722222222222222,18
22,Alt Manager,Wall Street NAV Channel,5.75,32
84,IG ETF,Mortgage,5.761904761904762,21
48,Alt Manager,IG ETF,5.769230769230769,39
91,IG ETF,Mortgage ETF,5.777777777777778,9
16,Mortgage,Wall Street NAV Channel,5.78125,32
111,Annuity,Reflexive Outlier,5.857142857142857,7
125,NAV Loan ETF,Sovereign Carry Vector,5.9,10
124,HY ETF,NAV Loan ETF,6.0,6
7,Asia NAV Underwriter,Mortgage ETF,6.0,13
53,Alt Manager,Annuity,6.1,30
104,Alt Manager,Mortgage ETF,6.111111111111111,9
127,Alt Manager,NAV Loan ETF,6.125,8
35,Custodian,Life/Annuity,6.142857142857143,28
73,Alt Manager,Asia NAV Underwriter,6.142857142857143,21
1,Asia NAV Underwriter,Mortgage,6.208333333333333,24
119,NAV Loan ETF,Wall Street NAV Channel,6.230769230769231,13
38,HY ETF,Life/Annuity,6.233333333333333,30
85,IG ETF,Wall Street NAV Channel,6.24,25
62,BDC,Floating Rate,6.245614035087719,57
9,Asia NAV Underwriter,UK,6.25,20
101,Floating Rate,Wall Street NAV Channel,6.3125,32
27,Annuity,Mortgage,6.333333333333333,24
17,Alt Manager,BDC,6.338709677419355,62
45,Mortgage ETF,Wall Street NAV Channel,6.375,8
33,BDC,Wall Street NAV Channel,6.3768115942028984,69
103,Custodian,Mortgage ETF,6.384615384615385,13
40,HY ETF,Wall Street NAV Channel,6.405405405405405,37
11,Asia NAV Underwriter,IG ETF,6.423076923076923,26
69,Life/Annuity,UK,6.428571428571429,21
36,Custodian,Mortgage,6.461538461538462,26
52,HY ETF,IG ETF,6.48936170212766,47
87,IG ETF,Sovereign Carry Vector,6.5,14
43,Loan ETF,Mortgage,6.509433962264151,53
51,Custodian,IG ETF,6.512195121951219,41
2,Asia NAV Underwriter,BDC,6.568965517241379,58
97,Floating Rate,IG ETF,6.580645161290323,31
39,HY ETF,Mortgage,6.6,30
47,UK,Wall Street NAV Channel,6.6,20
8,Asia NAV Underwriter,Sovereign Carry Vector,6.62962962962963,27
96,Floating Rate,Loan ETF,6.641025641025641,39
44,Loan ETF,Wall Street NAV Channel,6.660714285714286,56
89,BDC,Mortgage ETF,6.666666666666667,27
60,Alt Manager,Floating Rate,6.678571428571429,28
86,IG ETF,UK,6.7,20
10,Asia NAV Underwriter,Wall Street NAV Channel,6.7407407407407405,27
65,Annuity,UK,6.782608695652174,23
18,Alt Manager,Custodian,6.814814814814815,27
94,Floating Rate,UK,6.826086956521739,23
31,BDC,Life/Annuity,6.833333333333333,42
32,BDC,Mortgage,6.852459016393443,61
50,BDC,IG ETF,6.873239436619718,71
49,Annuity,IG ETF,6.888888888888889,36
75,Annuity,Asia NAV Underwriter,6.896551724137931,29
83,IG ETF,Loan ETF,6.896551724137931,58
23,Annuity,BDC,6.942857142857143,70
70,Loan ETF,UK,6.955555555555556,45
76,Annuity,Sovereign Carry Vector,6.962962962962963,27
56,BDC,Loan ETF,6.963235294117647,136
58,HY ETF,Loan ETF,7.030769230769231,65
77,BDC,Sovereign Carry Vector,7.052631578947368,57
88,Annuity,Mortgage ETF,7.090909090909091,11
61,Annuity,Floating Rate,7.117647058823529,34
29,BDC,Custodian,7.119047619047619,42
100,Floating Rate,Sovereign Carry Vector,7.136363636363637,22
59,Life/Annuity,Loan ETF,7.16,50
28,Annuity,Wall Street NAV Channel,7.162162162162162,37
55,Annuity,Loan ETF,7.1645569620253164,79
79,Life/Annuity,Sovereign Carry Vector,7.176470588235294,17
26,Annuity,Life/Annuity,7.2,30
64,Alt Manager,UK,7.2272727272727275,22
93,Loan ETF,Mortgage ETF,7.24,25
13,Mortgage,Mortgage ETF,7.25,8
67,Custodian,UK,7.269230769230769,26
95,Floating Rate,HY ETF,7.277777777777778,18
66,BDC,UK,7.288888888888889,45
30,BDC,HY ETF,7.294117647058823,68
6,Asia NAV Underwriter,Loan ETF,7.318181818181818,44
24,Annuity,Custodian,7.32258064516129,31
74,Alt Manager,Sovereign Carry Vector,7.333333333333333,18
0,HY ETF,Sovereign Carry Vector,7.36,25
4,Asia NAV Underwriter,HY ETF,7.375,16
99,Floating Rate,Mortgage,7.421052631578948,19
19,Alt Manager,HY ETF,7.5,32
78,Custodian,Sovereign Carry Vector,7.521739130434782,23
90,HY ETF,Mortgage ETF,7.583333333333333,12
128,IG ETF,NAV Loan ETF,7.625,8
57,Custodian,Loan ETF,7.633333333333334,60
63,Custodian,Floating Rate,7.655172413793103,29
34,Custodian,HY ETF,7.708333333333333,24
102,Floating Rate,Mortgage ETF,7.7272727272727275,11
54,Alt Manager,Loan ETF,7.741935483870968,62
117,BDC,NAV Loan ETF,7.782608695652174,23
80,Loan ETF,Sovereign Carry Vector,7.816326530612245,49
68,HY ETF,UK,7.869565217391305,23
15,Mortgage,UK,7.875,24
118,Annuity,NAV Loan ETF,7.882352941176471,17
25,Annuity,HY ETF,7.884615384615385,26
71,Mortgage ETF,UK,8.0,4
120,Asia NAV Underwriter,NAV Loan ETF,8.0,7
122,Mortgage,NAV Loan ETF,8.0,10
12,Asia NAV Underwriter,Floating Rate,8.08,25
105,Floating Rate,Reflexive Outlier,8.11111111111111,9
107,BDC,Reflexive Outlier,8.137931034482758,29
130,Loan ETF,NAV Loan ETF,8.333333333333334,21
116,Reflexive Outlier,Wall Street NAV Channel,8.571428571428571,7
14,Mortgage,Sovereign Carry Vector,8.578947368421053,19
133,Reflexive Outlier,UK,8.8,5
106,Life/Annuity,Reflexive Outlier,9.0,4
109,Reflexive Outlier,Sovereign Carry Vector,9.125,8
81,Mortgage ETF,Sovereign Carry Vector,9.25,8
132,NAV Loan ETF,UK,9.5,6
121,Floating Rate,NAV Loan ETF,9.545454545454545,11
112,Asia NAV Underwriter,Reflexive Outlier,9.666666666666666,6
129,NAV Loan ETF,Reflexive Outlier,10.333333333333334,3
